SectionId,SectionName,DistrictId,DistrictName,AreaId,AreaName,Link
6243298,USTA/INTERMOUNTAIN,6243338,UTAH,6243474,UT-NORTHERN UTAH,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243338&SubDistrictNodeID=6243474&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243338,UTAH,6243472,UT-SALT LAKE CITY,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243338&SubDistrictNodeID=6243472&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243338,UTAH,6243473,UT-ST. GEORGE,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243338&SubDistrictNodeID=6243473&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243339,WYOMING,,,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243339&SubDistrictNodeID=&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243488,! NOT A LEAGUE ! HOLDING AREA ! ADMIN USE,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243488&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243479,ANNE ARUNDEL,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243479&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243478,BALTIMORE,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243478&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243490,CALVERT,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243490&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243486,CARROLL,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243486&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243487,CHARLES,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243487&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
